geohash4,lat_c,lng_c,mean_severity,event_count,mean_duration,g_star_severity,g_star_sev_p,g_star_density,g_star_density_p,hotspot_class
9q96,36.9394,-121.79,1.9593691526329857,3741,92.48356054530873,-0.19611591731338152,0.152,-0.6391960457920253,0.296,Not significant
9qfy,39.1906,-119.7319,1.4810756972111554,2008,71.68077689243027,-0.19611591731338152,0.448,-0.6391960457920253,0.411,Not significant
9rwe,42.7274,-114.45469999999999,1.5779411764705882,2720,97.81066176470588,-0.19611591731338152,0.378,-0.6391960457920253,0.356,Not significant
9tez,32.2885,-106.9132,1.355188141391106,1754,50.105473204104904,-1.4108844038899613,0.127,-2.4491841113218755,0.019,Not significant
9tsk,31.8111,-106.3758,1.3087719298245615,855,97.81286549707602,-1.4108844038899613,0.143,-2.4491841113218755,0.026,Not significant
9vd9,31.138700000000004,-97.7145,1.589975635224504,5746,53.881134702401674,-0.18901479320459777,0.368,-0.918258735843401,0.1,Not significant
9vrj,30.5378,-91.1468,1.599604221635884,4548,67.01737027264731,0.8948296073508986,0.208,0.2672351075677335,0.416,Not significant
9w20,35.3022,-112.19419999999998,1.5123297754876701,2717,68.8582995951417,-1.5463515834706056,0.065,-3.5494958976574034,0.003,Not significant
9wmp,36.4259,-105.2903,1.4944776806258628,4346,75.9330418775886,-1.6358243778958377,0.064,-2.932840515146873,0.003,Not significant
9wss,37.4393,-105.86180000000002,1.7793783169067476,2638,68.4412433661865,-1.8207137960265212,0.013,-3.1021594506836623,0.003,Cold 95%
9wu8,38.0972,-106.1689,1.2124075595727197,2434,68.48110106820049,-1.8207137960265212,0.095,-3.1021594506836623,0.003,Not significant
9x3m,41.8241,-110.557,1.528641975308642,4050,112.77876543209877,-1.0957107212721209,0.126,-1.7039717592371157,0.044,Not significant
9xc0,43.745,-111.0912,1.4244274809160304,5240,114.74045801526718,-1.2957758168791473,0.132,-2.027193245747932,0.01,Not significant
9xmf,41.1533,-104.1302,1.4459724950884087,2545,77.14538310412574,-0.5417645607000027,0.324,-1.308371653677394,0.155,Not significant
9xq6,41.1881,-103.6774,1.4849807445442875,3895,83.7160462130937,-0.09411349544598527,0.477,-1.2778001792054736,0.117,Not significant
9y1m,34.6986,-99.3381,1.6149425287356323,4698,57.04214559386973,0.19613137967272237,0.496,-1.4173315242311615,0.062,Not significant
9y7t,36.0425,-95.99,1.5764673463764123,3629,61.65417470377515,0.48539849198295365,0.359,0.10444853837109748,0.389,Not significant
9yf2,38.0655,-97.8606,1.668997668997669,3003,66.82317682317682,0.332812735463796,0.487,-0.16782049068651894,0.451,Not significant
9yuv,38.9597,-94.3714,1.5437864887406172,3597,78.0870169585766,0.40700331143714585,0.356,-0.17984004475240192,0.488,Not significant
9yuw,39.1209,-94.5972,1.4867507886435332,3170,70.13028391167192,0.40700331143714585,0.308,-0.17984004475240192,0.464,Not significant
9yz7,38.5876,-90.9938,1.7084633385335413,5128,55.73322932917317,-0.20563055442623254,0.293,-0.2206020107149618,0.344,Not significant
9zgh,44.3048,-96.8169,1.6333768900504013,5357,78.4108642897144,0.12108929514038316,0.455,0.07100282270950965,0.428,Not significant
9zmk,41.534,-93.6531,1.4095811387007775,3987,103.75119137195887,0.04316552698250499,0.419,0.2562607321162747,0.38,Not significant
9zum,44.5483,-95.0804,1.6105347166799682,3759,94.37084330939079,0.0005197828134094356,0.423,0.2920580996603187,0.351,Not significant
9zv8,43.6822,-93.3722,1.5240183792815372,4788,88.03028404344194,0.0005197828134094356,0.482,0.2920580996603187,0.428,Not significant
9zz6,43.9581,-90.7397,1.487508440243079,4443,85.42606347062795,-0.39262788465885834,0.368,0.6578706147089379,0.266,Not significant
c20g,45.5511,-122.4089,1.3846615939126952,4994,100.75710853023628,-0.19611591731338152,0.492,-0.6391960457920253,0.203,Not significant
c20s,45.7691,-122.8637,1.6109192567012005,6081,97.4563394178589,-0.19611591731338152,0.349,-0.6391960457920253,0.148,Not significant
c2h1,45.2907,-118.00880000000001,1.4010935992280475,3109,115.92730781601801,-0.19611591731338152,0.489,-0.6391960457920253,0.343,Not significant
c8qf,46.7973,-102.8019,1.67983789260385,3948,101.14412360688956,-0.43726242183820596,0.235,-0.4184020634948227,0.354,Not significant
cbhh,45.868,-95.394,1.7477203647416413,4277,91.61304652794014,0.0005197828134094356,0.34,0.2920580996603187,0.405,Not significant
cbj8,45.0625,-93.3508,1.5881285640228098,3858,89.63219284603421,-0.03441360191382873,0.421,0.6440219980678115,0.227,Not significant
cbjv,46.0244,-92.8991,1.4846237731733916,4585,92.87131952017448,-0.03441360191382873,0.493,0.6440219980678115,0.275,Not significant
djgv,33.3544,-84.5689,1.676536655094956,4897,60.66367163569532,1.4444899072428676,0.112,0.9377171887211327,0.201,Not significant
dnjd,34.2487,-82.1591,1.6736049601417184,4516,73.63972542072631,-0.27555444174775406,0.278,0.05454125953232215,0.485,Not significant
dnjw,34.9157,-81.9565,1.4359600895947873,4911,61.38057422113622,-0.27555444174775406,0.442,0.05454125953232215,0.456,Not significant
dnkh,36.023,-84.2336,1.5931516936671575,2716,69.44145802650958,0.8559501059591145,0.229,2.220412643273757,0.003,Not significant
dnrf,35.5825,-79.1014,1.8465608465608465,5859,63.40757808499744,-0.27555444174775406,0.195,0.05454125953232215,0.378,Not significant
dp9k,42.955,-87.9044,1.470444985609918,4517,99.2570290015497,-0.7033735275117129,0.274,1.7150687831994498,0.04,Not significant
dpe5,42.8808,-85.5228,1.466173752310536,5410,108.62735674676524,-0.24620484712173263,0.435,2.0704295121038228,0.027,Not significant
dped,42.5764,-84.81240000000001,1.5047454702329595,6954,65.41213689962612,-0.43486002133843327,0.337,2.1025687544973803,0.037,Not significant
dpq0,40.9181,-81.4434,1.4663341645885286,5213,118.75100709764051,-1.0289134972864489,0.188,1.2460448799763981,0.139,Not significant
dprx,42.1534,-79.258,1.6362395495649207,5861,121.06551782972188,-0.10119273623908677,0.367,2.4534874742904504,0.01,Not significant
dq1x,35.0222,-76.4625,1.6460268317853457,2907,442.9563123495012,-0.15459464566184028,0.345,-0.13777160552181,0.445,Not significant
dq97,37.2416,-76.71670000000002,0.8689655172413793,435,320.92873563218393,0.06146815263964923,0.056,0.8953874548369345,0.024,Not significant
drec,42.4269,-73.289,1.6940029985007496,6670,74.84572713643179,0.7738469386496759,0.322,1.3973344844143625,0.182,Not significant
drk4,41.2638,-72.8868,1.7329968757510215,4161,77.72746935832733,0.7738469386496759,0.342,1.3973344844143625,0.076,Not significant
drkg,41.3509,-71.8054,1.7333333333333334,5415,82.08125577100647,0.7738469386496759,0.343,1.3973344844143625,0.123,Not significant
drsb,42.2706,-71.8731,1.7087476824540704,5933,85.47648744311478,0.7738469386496759,0.323,1.3973344844143625,0.147,Not significant
