pattern,support,support_pct,length
"('Fog',)",29,96.67,1
"('Rain',)",29,96.67,1
"('Fog', 'Rain')",29,96.67,2
"('Fog', 'Fog')",29,96.67,2
"('Rain', 'Rain')",29,96.67,2
"('Rain', 'Fog')",29,96.67,2
"('Rain', 'Rain', 'Rain')",29,96.67,3
"('Rain', 'Fog', 'Rain')",29,96.67,3
"('Rain', 'Fog', 'Fog')",29,96.67,3
"('Rain', 'Rain', 'Fog')",29,96.67,3
"('Fog', 'Fog', 'Rain')",29,96.67,3
"('Fog', 'Fog', 'Fog')",29,96.67,3
"('Fog', 'Rain', 'Fog')",29,96.67,3
"('Fog', 'Rain', 'Rain')",29,96.67,3
"('Snow', 'Rain')",27,90.0,2
"('Rain', 'Snow')",27,90.0,2
"('Snow', 'Snow')",27,90.0,2
"('Snow', 'Fog')",27,90.0,2
"('Snow',)",27,90.0,1
"('Fog', 'Snow')",27,90.0,2
"('Fog', 'Snow', 'Snow')",27,90.0,3
"('Fog', 'Snow', 'Rain')",27,90.0,3
"('Fog', 'Fog', 'Snow')",27,90.0,3
"('Rain', 'Rain', 'Snow')",27,90.0,3
"('Rain', 'Snow', 'Rain')",27,90.0,3
"('Fog', 'Rain', 'Snow')",27,90.0,3
"('Rain', 'Fog', 'Snow')",27,90.0,3
"('Fog', 'Snow', 'Fog')",27,90.0,3
"('Rain', 'Snow', 'Snow')",27,90.0,3
"('Rain', 'Snow', 'Fog')",27,90.0,3
"('Snow', 'Rain', 'Fog')",27,90.0,3
"('Snow', 'Rain', 'Rain')",27,90.0,3
"('Snow', 'Rain', 'Snow')",27,90.0,3
"('Snow', 'Snow', 'Rain')",27,90.0,3
"('Snow', 'Snow', 'Fog')",27,90.0,3
"('Snow', 'Fog', 'Fog')",27,90.0,3
"('Snow', 'Fog', 'Snow')",27,90.0,3
"('Snow', 'Fog', 'Rain')",27,90.0,3
"('Cold',)",25,83.33,1
"('Snow', 'Snow', 'Snow')",25,83.33,3
"('Fog', 'Cold', 'Fog')",24,80.0,3
"('Fog', 'Fog', 'Cold')",24,80.0,3
"('Fog', 'Cold', 'Rain')",24,80.0,3
"('Fog', 'Rain', 'Cold')",24,80.0,3
"('Cold', 'Rain', 'Rain')",24,80.0,3
"('Rain', 'Cold')",24,80.0,2
"('Cold', 'Fog', 'Fog')",24,80.0,3
"('Cold', 'Fog', 'Rain')",24,80.0,3
"('Fog', 'Cold')",24,80.0,2
"('Cold', 'Fog')",24,80.0,2
"('Cold', 'Rain')",24,80.0,2
"('Cold', 'Rain', 'Fog')",24,80.0,3
"('Rain', 'Cold', 'Fog')",24,80.0,3
"('Rain', 'Rain', 'Cold')",24,80.0,3
"('Rain', 'Fog', 'Cold')",24,80.0,3
"('Rain', 'Cold', 'Rain')",24,80.0,3
"('Cold', 'Snow')",21,70.0,2
"('Cold', 'Cold')",21,70.0,2
"('Rain', 'Snow', 'Cold')",21,70.0,3
"('Snow', 'Cold', 'Fog')",21,70.0,3
"('Rain', 'Cold', 'Snow')",21,70.0,3
"('Fog', 'Snow', 'Cold')",21,70.0,3
"('Cold', 'Snow', 'Snow')",21,70.0,3
"('Cold', 'Snow', 'Fog')",21,70.0,3
"('Cold', 'Snow', 'Rain')",21,70.0,3
"('Cold', 'Rain', 'Snow')",21,70.0,3
"('Snow', 'Cold', 'Rain')",21,70.0,3
"('Snow', 'Fog', 'Cold')",21,70.0,3
"('Snow', 'Rain', 'Cold')",21,70.0,3
"('Snow', 'Snow', 'Cold')",21,70.0,3
"('Fog', 'Cold', 'Snow')",21,70.0,3
"('Snow', 'Cold')",21,70.0,2
"('Cold', 'Fog', 'Snow')",21,70.0,3
"('Cold', 'Cold', 'Fog')",20,66.67,3
"('Cold', 'Cold', 'Rain')",20,66.67,3
"('Rain', 'Cold', 'Cold')",19,63.33,3
"('Fog', 'Cold', 'Cold')",19,63.33,3
"('Snow', 'Cold', 'Snow')",19,63.33,3
"('Cold', 'Rain', 'Cold')",19,63.33,3
"('Cold', 'Fog', 'Cold')",19,63.33,3
"('Cold', 'Cold', 'Snow')",17,56.67,3
"('Cold', 'Cold', 'Cold')",16,53.33,3
"('Snow', 'Cold', 'Cold')",16,53.33,3
"('Cold', 'Snow', 'Cold')",16,53.33,3
"('Storm',)",13,43.33,1
"('Storm', 'Rain')",12,40.0,2
"('Storm', 'Snow', 'Rain')",12,40.0,3
"('Storm', 'Snow', 'Snow')",12,40.0,3
"('Storm', 'Rain', 'Rain')",12,40.0,3
"('Storm', 'Fog')",12,40.0,2
"('Storm', 'Snow')",12,40.0,2
"('Rain', 'Storm')",12,40.0,2
"('Rain', 'Storm', 'Snow')",12,40.0,3
"('Storm', 'Fog', 'Fog')",12,40.0,3
"('Rain', 'Storm', 'Rain')",12,40.0,3
"('Rain', 'Rain', 'Storm')",12,40.0,3
"('Storm', 'Fog', 'Snow')",12,40.0,3
"('Storm', 'Fog', 'Rain')",12,40.0,3
"('Storm', 'Rain', 'Snow')",12,40.0,3
"('Storm', 'Snow', 'Fog')",12,40.0,3
"('Storm', 'Rain', 'Fog')",12,40.0,3
"('Rain', 'Storm', 'Fog')",12,40.0,3
"('Cold', 'Storm')",12,40.0,2
"('Fog', 'Storm')",11,36.67,2
"('Cold', 'Cold', 'Storm')",11,36.67,3
"('Snow', 'Storm', 'Snow')",11,36.67,3
"('Rain', 'Snow', 'Storm')",11,36.67,3
"('Snow', 'Rain', 'Storm')",11,36.67,3
"('Snow', 'Fog', 'Storm')",11,36.67,3
"('Snow', 'Snow', 'Storm')",11,36.67,3
"('Snow', 'Storm', 'Fog')",11,36.67,3
"('Snow', 'Storm', 'Rain')",11,36.67,3
"('Fog', 'Storm', 'Snow')",11,36.67,3
"('Fog', 'Storm', 'Rain')",11,36.67,3
"('Rain', 'Cold', 'Storm')",11,36.67,3
"('Rain', 'Fog', 'Storm')",11,36.67,3
"('Storm', 'Cold')",11,36.67,2
"('Snow', 'Storm')",11,36.67,2
"('Fog', 'Rain', 'Storm')",11,36.67,3
"('Fog', 'Fog', 'Storm')",11,36.67,3
"('Cold', 'Rain', 'Storm')",11,36.67,3
"('Cold', 'Storm', 'Snow')",11,36.67,3
"('Cold', 'Storm', 'Fog')",11,36.67,3
"('Cold', 'Storm', 'Rain')",11,36.67,3
"('Fog', 'Snow', 'Storm')",11,36.67,3
"('Fog', 'Storm', 'Fog')",11,36.67,3
"('Storm', 'Snow', 'Cold')",10,33.33,3
"('Fog', 'Cold', 'Storm')",10,33.33,3
"('Snow', 'Cold', 'Storm')",10,33.33,3
"('Rain', 'Storm', 'Cold')",10,33.33,3
"('Storm', 'Cold', 'Fog')",10,33.33,3
"('Cold', 'Fog', 'Storm')",10,33.33,3
"('Cold', 'Storm', 'Cold')",10,33.33,3
"('Cold', 'Snow', 'Storm')",10,33.33,3
"('Storm', 'Rain', 'Cold')",10,33.33,3
"('Storm', 'Fog', 'Cold')",10,33.33,3
"('Storm', 'Cold', 'Rain')",10,33.33,3
"('Storm', 'Cold', 'Snow')",10,33.33,3
"('Fog', 'Storm', 'Cold')",9,30.0,3
"('Cold', 'Storm', 'Storm')",9,30.0,3
"('Storm', 'Cold', 'Cold')",9,30.0,3
"('Snow', 'Storm', 'Cold')",9,30.0,3
"('Storm', 'Storm')",9,30.0,2
"('Storm', 'Fog', 'Storm')",8,26.67,3
"('Storm', 'Snow', 'Storm')",8,26.67,3
"('Storm', 'Storm', 'Cold')",8,26.67,3
"('Storm', 'Storm', 'Fog')",8,26.67,3
"('Storm', 'Rain', 'Storm')",8,26.67,3
"('Storm', 'Cold', 'Storm')",8,26.67,3
"('Rain', 'Storm', 'Storm')",8,26.67,3
"('Storm', 'Storm', 'Snow')",8,26.67,3
"('Storm', 'Storm', 'Rain')",8,26.67,3
"('Fog', 'Storm', 'Storm')",8,26.67,3
"('Snow', 'Storm', 'Storm')",8,26.67,3
"('Storm', 'Storm', 'Storm')",7,23.33,3
"('Cold', 'Cold', 'Precipitation')",6,20.0,3
"('Precipitation',)",6,20.0,1
"('Cold', 'Precipitation')",6,20.0,2
"('Fog', 'Precipitation')",5,16.67,2
"('Cold', 'Precipitation', 'Rain')",5,16.67,3
"('Cold', 'Precipitation', 'Cold')",5,16.67,3
"('Cold', 'Fog', 'Precipitation')",5,16.67,3
"('Rain', 'Precipitation')",5,16.67,2
"('Precipitation', 'Cold')",5,16.67,2
"('Precipitation', 'Fog')",5,16.67,2
"('Precipitation', 'Rain')",5,16.67,2
"('Cold', 'Precipitation', 'Fog')",5,16.67,3
"('Rain', 'Precipitation', 'Rain')",5,16.67,3
"('Rain', 'Precipitation', 'Fog')",5,16.67,3
"('Rain', 'Cold', 'Precipitation')",5,16.67,3
"('Precipitation', 'Fog', 'Fog')",5,16.67,3
"('Precipitation', 'Fog', 'Rain')",5,16.67,3
"('Rain', 'Fog', 'Precipitation')",5,16.67,3
"('Precipitation', 'Rain', 'Rain')",5,16.67,3
"('Fog', 'Fog', 'Precipitation')",5,16.67,3
"('Fog', 'Precipitation', 'Fog')",5,16.67,3
"('Cold', 'Rain', 'Precipitation')",5,16.67,3
"('Fog', 'Cold', 'Precipitation')",5,16.67,3
"('Fog', 'Precipitation', 'Rain')",5,16.67,3
"('Fog', 'Rain', 'Precipitation')",5,16.67,3
"('Precipitation', 'Rain', 'Fog')",5,16.67,3
"('Rain', 'Rain', 'Precipitation')",5,16.67,3
